clip_id,source_video_id,domain,split,duration_sec,clip_path,transcript,dataset
0e76Mv3YWso_000043,0e76Mv3YWso,scie,train,8.08,kmsav_pilot/cropped/0e76Mv3YWso/utts/000043.mp4,학자들 이야기는 이미 알츠하이머로 기억이 가물하고 이제 잘 모를때는 이미 늦었다는 거죠. 이미 뇌가 많이 망가진 다음에야 증상이 나오기 때문에,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000044,0e76Mv3YWso,scie,train,7.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000044.mp4,그래서 이제 초기에 기억력이 깜빡거리는 게 50 밖에 안됐을때부터 아 미리 치 치료를 해서 약을 쓰면 낫지 않을까,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000048,0e76Mv3YWso,scie,train,7.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000048.mp4,안되지만 그런 방향으로 앞으로 그렇게 나갈겁니다. 미리미리해서 또 알츠하이머가 생길만한 유전자도 있고 그러기 때문에 그런 사람을 미리 잡아서,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000052,0e76Mv3YWso,scie,train,4.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000052.mp4,몸을 머리에 이식한거냐 머리를 이식하냐 아규가 있죠.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000053,0e76Mv3YWso,scie,train,7.52,kmsav_pilot/cropped/0e76Mv3YWso/utts/000053.mp4,그러나 다들 의사들은 몸을 이식했다고 그래요. 왜냐하면 뇌가 그 사람이지 뇌 몸은 아무나 붙어도 되는거거든요?,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000054,0e76Mv3YWso,scie,train,8.96,kmsav_pilot/cropped/0e76Mv3YWso/utts/000054.mp4,"그래서 머리 몸을 통째로 그런 사람을 이식하려는 시도가 있었어요. 1900 한 8, 70년대 사시 미 미국 사람들이 해서","KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000059,0e76Mv3YWso,scie,train,7.2,kmsav_pilot/cropped/0e76Mv3YWso/utts/000059.mp4,네 저는 신경과 의사이기 때문에 뇌가 손상 당하는 사람을 봐서 정신과 의사는 안 봅니다만은,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000061,0e76Mv3YWso,scie,train,7.24,kmsav_pilot/cropped/0e76Mv3YWso/utts/000061.mp4,그러니까. 그 그 인간으로 있기가 너무나 고통스럽기 때문에 사 자기를 바꿔 버리는 거죠. 그래서 다른 인간처럼 행동하는 거를 말하는데,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000062,0e76Mv3YWso,scie,train,8.88,kmsav_pilot/cropped/0e76Mv3YWso/utts/000062.mp4,어 정신과 의사한테 물어보니까. 그런 경우는 아주 희귀해서 그 영화에 쓰긴 좋으니까 영화엔 많이 나와요. 영화엔 많 옛날 옛날에도,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000064,0e76Mv3YWso,scie,train,7.44,kmsav_pilot/cropped/0e76Mv3YWso/utts/000064.mp4,그렇지만 실제로는 지극히 적어서 별로 연구가 안되어 있고 너무나 많은 스트레스 때문에 자기를 바꾼다고 일단 생각할 뿐이지,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000069,0e76Mv3YWso,scie,train,4.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000069.mp4,관심들이 많고요. 저희는 쥐를 모델로 해서 사람을 유추하기 때문에,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000073,0e76Mv3YWso,scie,train,6.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000073.mp4,"사실은 자라온 환경, 교육 먹는거 다 틀리기 때문에 당연히 틀리거다 이렇게 사람들이 생각을","KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000080,0e76Mv3YWso,scie,train,3.76,kmsav_pilot/cropped/0e76Mv3YWso/utts/000080.mp4,그래서 저희 아직 많이 갖고 있는 질문이라고 답 해드릴 수 있을 것 같습니다.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000082,0e76Mv3YWso,scie,train,6.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000082.mp4,네 이거 아주 깊은 질문인데 뇌성마비는 대개는 아이가 태어날때 너무 일찍 나왔거나,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000083,0e76Mv3YWso,scie,train,5.12,kmsav_pilot/cropped/0e76Mv3YWso/utts/000083.mp4,뭐 너무 늦게 나왔거나 아니면 너무 산모가 출혈이 있거나 아이가 거꾸로 안,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000084,0e76Mv3YWso,scie,train,6.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000084.mp4,누워 있다가 나왔거나 무슨 문제가 있을때 뇌에 문제가 생기는 건데 어 뇌성마비도 여러가지 증상이 있지만,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000085,0e76Mv3YWso,scie,train,5.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000085.mp4,제가 아까 말씀드렸던 대로 기저핵이라는 부분이 주로 망가지는 뇌성마비가 있거든요?,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000086,0e76Mv3YWso,scie,train,8.8,kmsav_pilot/cropped/0e76Mv3YWso/utts/000086.mp4,아까 그 문소리가 바로 그 연기를 한거예요. 뇌성마비 환자를 처음 어릴때부터 그랬거든요. 그런 사람은 어릴때 그래서 제가 말씀드린 긴장 이상증을 일으키는 병은 많아요.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000087,0e76Mv3YWso,scie,train,7.16,kmsav_pilot/cropped/0e76Mv3YWso/utts/000087.mp4,뇌졸중도 기저핵이 망가지면 다 올 수 있는데 뇌성마비는 어릴때부터 이게 망가져서 이렇게 오랫동안 사는 건데,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000092,0e76Mv3YWso,scie,train,7.32,kmsav_pilot/cropped/0e76Mv3YWso/utts/000092.mp4,"글쎄, 역시 어려운 문제인데 남자도 물론 변연계에서 사랑이 나오죠. 그런데 일반적으로 변연계의 활성화는","KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000093,0e76Mv3YWso,scie,train,8.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000093.mp4,우리 우리가 기능적 MRI라고 통 속에 들어가서 뭐뭐 손을 움직여버리면 여기 활성화되는 걸 보고 알 수가 있는게 있는데 여자들이 훨씬 더 강하죠.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000094,0e76Mv3YWso,scie,train,8.52,kmsav_pilot/cropped/0e76Mv3YWso/utts/000094.mp4,그리고 어 엠퍼시라고 그럴까요? 애가 우는 소리를 들으면 여자는 변연계가 막 활성화돼요. 남자들은 별로 안해요. 긴가민가합니다.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000098,0e76Mv3YWso,scie,train,9.24,kmsav_pilot/cropped/0e76Mv3YWso/utts/000098.mp4,모든 감각이 여성이 예민해요. 모든 감각이요. 뭐 근데 여 그건 길러져서 그런게 아니라 아기도 그래. 갓난아기도 여자가 훨씬 더 예민하다고 그 태어난 거죠.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000099,0e76Mv3YWso,scie,train,6.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000099.mp4,그니까. 남녀가 같을 순 없어요. 뇌로 볼때는. 몰라요. 이게 똑같이 생활을 하다 보면은 똑같아질수도 있지만 아직까지는 그래요.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000100,0e76Mv3YWso,scie,train,8.44,kmsav_pilot/cropped/0e76Mv3YWso/utts/000100.mp4,그렇기 때문에 서로의 특성을 특장을 살려서 서로서로 도와서 서로 가서 제가 보기엔 변연계와 심피질을 둘 다 쓰는게 제일 좋아요.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000101,0e76Mv3YWso,scie,train,3.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000101.mp4,그니까. 남자가 도와줘야지. 남자가 애 봐주지 않으면 못하니까.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000102,0e76Mv3YWso,scie,train,6.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000102.mp4,그렇게해서 그렇기 때문에 제가 말씀는 거에요. 사회적으로 우리가 다같이 그걸 이해해서 차이를 그런 좋은 사회를 이뤄야 되는 것 같아요.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000107,0e76Mv3YWso,scie,train,5.4,kmsav_pilot/cropped/0e76Mv3YWso/utts/000107.mp4,근데 고 놈은 약간 변동 되어가지고 앞 쪽에 전두엽이 망가지다 보니까 성격이 달라져요.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000108,0e76Mv3YWso,scie,train,6.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000108.mp4,전두엽은 우리 우리 자아거든요. 자아가 전두엽이 망가지면 순하던 사람이 막 난폭해지고 어,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000109,0e76Mv3YWso,scie,train,5.0,kmsav_pilot/cropped/0e76Mv3YWso/utts/000109.mp4,난폭하던 사람이 얌전해지고 변합니다. 사람이 달 달라지면 그건 치매 징조가 있는거죠.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000110,0e76Mv3YWso,scie,train,8.08,kmsav_pilot/cropped/0e76Mv3YWso/utts/000110.mp4,전두엽이 많이 망가지니까 평상시에 전두엽이 억누르고 있던 다른 것이 오히려 릴리즈가 됐어요. 해소 해소가 될 수가 있어요.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000116,0e76Mv3YWso,scie,train,6.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000116.mp4,실제로 그런 그림들이 많이 레포트가 돼요. 그 그림을 더 멋있게 그리고 다르게 그리는 것들이 레포트가 많이 돼서,"KMSAV (interim, not OLKAVS)"
0fppXi4h5v8_000013,0fppXi4h5v8,issu,train,3.6,kmsav_pilot/cropped/0fppXi4h5v8/utts/000013.mp4,아 지나치게 낮은 형을 선고한 것이 아닌가 생각이 듭니다.,"KMSAV (interim, not OLKAVS)"
1DKwTQ5yL6k_000013,1DKwTQ5yL6k,inte,train,3.48,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000013.mp4,안녕하세요. 군복무를 마치고 돌아온 정현철 입니다.,"KMSAV (interim, not OLKAVS)"
1DKwTQ5yL6k_000014,1DKwTQ5yL6k,inte,train,3.88,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000014.mp4,저도 현철이형과 같이 군복무를 마치고 돌아온 김주성 입니다.,"KMSAV (interim, not OLKAVS)"
1DKwTQ5yL6k_000027,1DKwTQ5yL6k,inte,train,2.08,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000027.mp4,같이 뭐 얘기하고 이러면 뭐,"KMSAV (interim, not OLKAVS)"
1DKwTQ5yL6k_000030,1DKwTQ5yL6k,inte,train,8.8,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000030.mp4,저녁에 이제 할 게 할 게 없으니까. 저녁 먹고 막 부르마블 같은 거 하고 PX에서 막 맛있는 거 사갖고 저희 같이 먹고 막 그 그러면서 시간을 보냈던 것 같아요.,"KMSAV (interim, not OLKAVS)"
1DKwTQ5yL6k_000046,1DKwTQ5yL6k,inte,train,7.0,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000046.mp4,여기와서도 그렇게 할거라고 걔는 제가 짐작을 했었어요. 그렇게 말하는 거 보니까. 어떻게 행동하는지 짐작이 가네요.,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000010,54ULzusB3zU,scie,train,9.88,kmsav_pilot/cropped/54ULzusB3zU/utts/000010.mp4,"제가 재해석을 해보면, 비교적 그 우리가 이해는 잘 하고 있는 것들이 있습니다. 그니까 예를 들어서 뭐","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000013,54ULzusB3zU,scie,train,9.24,kmsav_pilot/cropped/54ULzusB3zU/utts/000013.mp4,현상입니다. 그렇지만 이 문제를 가져다가 사람보고 풀라고 그러면 미지수가 아까 이야기했던 우리 문제를 풀려고 하는 방정식의,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000017,54ULzusB3zU,scie,train,9.84,kmsav_pilot/cropped/54ULzusB3zU/utts/000017.mp4,"일단 기본적인 원리만 이해한다면, 그러면 그 작업이 지난하고 굉장히 오래걸리고","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000023,54ULzusB3zU,scie,train,6.04,kmsav_pilot/cropped/54ULzusB3zU/utts/000023.mp4,그랬더니 그 기계는 움직이다가 벽에 부딪히면 스스로 물러나서 다른 데로 갑니다.,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000024,54ULzusB3zU,scie,train,7.96,kmsav_pilot/cropped/54ULzusB3zU/utts/000024.mp4,"만약 이걸 사람들이 프로그램을 짜서 만든다 그러면, 자 벽에 부딪히면 뭐하라 이런식으로 명령을 만들겠죠. 그런데 그게 아니라 각 신경들이","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000025,54ULzusB3zU,scie,train,9.92,kmsav_pilot/cropped/54ULzusB3zU/utts/000025.mp4,"각 각 뉴런들이 어떻게 신호를 주는지만 결정해 주면, 걔가 마치 살아있는 것 처럼 움직인다라는 거죠. 사실 극단적으로 얘기하면 사람도 그런 존재일 지도 모릅니다.","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000031,54ULzusB3zU,scie,train,7.52,kmsav_pilot/cropped/54ULzusB3zU/utts/000031.mp4,순서도 이렇게 해서 튜링의 알고리즘 프로그램을 짤 수 있을거 것처럼 보입니다. 그런데 또 하나는 인공,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000034,54ULzusB3zU,scie,train,9.6,kmsav_pilot/cropped/54ULzusB3zU/utts/000034.mp4,"알파고는 컴퓨터를 만들어 놓는다고 해가지고 뭔가 일을 잘 하지 못합니다. 뭔가 계속해서 훈련시키고, 어떤 식으로 어떤 방식으로","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000066,54ULzusB3zU,scie,train,9.8,kmsav_pilot/cropped/54ULzusB3zU/utts/000066.mp4,"어 문제에 주어져 있는 그 밑에 깔려있는 숨어있는 구조가 무엇인지를 파악하고 이런걸 볼려고 내는 문제니까, 기본적으로는 어 그냥 유한한 단계를","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000068,54ULzusB3zU,scie,train,6.64,kmsav_pilot/cropped/54ULzusB3zU/utts/000068.mp4,어 어 그러니까 컴퓨 뭐 알고리듬으로 문제를 풀겠다는 생각은 안하시는 게 좋습니다.,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000078,54ULzusB3zU,scie,train,9.36,kmsav_pilot/cropped/54ULzusB3zU/utts/000078.mp4,"사람한테 의미있는 종류의 그 학생이 이 문제를 받았을 때, 어떤 식의 수학적 사고를 가질 지 실측하기 위해서 문제를 내는 거지 않습니까?","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000080,54ULzusB3zU,scie,train,9.52,kmsav_pilot/cropped/54ULzusB3zU/utts/000080.mp4,저도 뭐 답을 모릅니다. 강 인공지능이라는 거가 본질적으로 존재할지 그런데 1가지 저의 생각은 우리가 우리가,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000082,54ULzusB3zU,scie,train,9.56,kmsav_pilot/cropped/54ULzusB3zU/utts/000082.mp4,"정치 사회적인 문제는 잘 모르겠지만, 수학문제를 갖다가 푸는 도구로써 인공지능을 발전시킨다고 그러면, 우리는 아무런 할 일 이 없는 종류로 인공지능을","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000083,54ULzusB3zU,scie,train,2.32,kmsav_pilot/cropped/54ULzusB3zU/utts/000083.mp4,발전시킬 가능성은 없다고 보여지고요.,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000084,54ULzusB3zU,scie,train,9.16,kmsav_pilot/cropped/54ULzusB3zU/utts/000084.mp4,"우리의 사고를 훨씬 더 넓히고, 우리가 관심있는 문제를 새로운 지평을 열어줄 수 있도록 도움을 주는 형태의 인공지능을 만들 것 같습니다.","KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000088,54ULzusB3zU,scie,train,9.04,kmsav_pilot/cropped/54ULzusB3zU/utts/000088.mp4,1가지 시각은 리만가설 자체가 우리가 갖고 있는 수학체계의 공리체계 극단적으로는 이거는 뭐,"KMSAV (interim, not OLKAVS)"
54ULzusB3zU_000115,54ULzusB3zU,scie,train,9.44,kmsav_pilot/cropped/54ULzusB3zU/utts/000115.mp4,"사색정리 증명이 나왔을 때, 전부다 대부분의 수학자들이 어글리라고 했던 이유가 그 증명 과정이 컴퓨터에 들어있기 때문에 우리가 알 수가 없잖아요. 눈에 보이지 않았기 때문에","KMSAV (interim, not OLKAVS)"
5lX4UInJwBU_000009,5lX4UInJwBU,beau,train,2.24,kmsav_pilot/cropped/5lX4UInJwBU/utts/000009.mp4,저번에는 례아님께서 문제를 내주셨는데,"KMSAV (interim, not OLKAVS)"
5lX4UInJwBU_000043,5lX4UInJwBU,beau,train,3.76,kmsav_pilot/cropped/5lX4UInJwBU/utts/000043.mp4,네 여기에 이제 문제 속에 함정이 있다라고 말씀을 드리고 싶은데요.,"KMSAV (interim, not OLKAVS)"
5lX4UInJwBU_000051,5lX4UInJwBU,beau,train,5.28,kmsav_pilot/cropped/5lX4UInJwBU/utts/000051.mp4,네 맞아요. 이렇게 해서 2L를 목표로 먹을 수 있도록 기준을 정해 놓았거든요.,"KMSAV (interim, not OLKAVS)"
5lX4UInJwBU_000080,5lX4UInJwBU,beau,train,4.56,kmsav_pilot/cropped/5lX4UInJwBU/utts/000080.mp4,그런 분들은 오히려 이런 카페인이 없는 차 종류를 드시는걸 좀 권장드려요,"KMSAV (interim, not OLKAVS)"
5lX4UInJwBU_000090,5lX4UInJwBU,beau,train,2.56,kmsav_pilot/cropped/5lX4UInJwBU/utts/000090.mp4,물의 온도가 영향을 그렇게 크게 주진 않아요.,"KMSAV (interim, not OLKAVS)"
5lX4UInJwBU_000101,5lX4UInJwBU,beau,train,4.12,kmsav_pilot/cropped/5lX4UInJwBU/utts/000101.mp4,습관 성형을 아마 열심히 하신 우리 다노블리 분들은 다 맞추셨겠죠?,"KMSAV (interim, not OLKAVS)"
5lX4UInJwBU_000105,5lX4UInJwBU,beau,train,4.32,kmsav_pilot/cropped/5lX4UInJwBU/utts/000105.mp4,우리가 자면서 노폐물을 배출하는 시간을 갖다 보니까,"KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000005,75AWLc2tQIQ,scie,train,9.36,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000005.mp4,"어 각각의 각각의 방법이 분자를 움직이게 하는 건 있는데, 트위저 같은 경우에는 어 빛을 이용해 갖고, 어떤 빛의 어떤 압력을","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000008,75AWLc2tQIQ,scie,train,8.4,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000008.mp4,"어 팁 자체는 그렇게 크게 상호 작용을 하지 않지만, 집어넣어준 전자가 분자와 상호 작용을 해서 분자를 얻은 거가 어디론가","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000009,75AWLc2tQIQ,scie,train,7.64,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000009.mp4,"움직이게 하는 어 그런 차이가 있습니다. 뭐 간단하게 말씀해갖고 빛이냐? 전자냐? 요, 이런 구분이 있는 것 같다고 생각합니다.","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000012,75AWLc2tQIQ,scie,train,7.8,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000012.mp4,더 기다려요. 라고 얘기를 들어야만 될 거라고 생각을 하구요. 그리고 STM이라는 그 도구 자체가 그렇게,"KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000013,75AWLc2tQIQ,scie,train,9.28,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000013.mp4,"어 분자를 자르는 거에는 특허가 돼 있는데, 결합을 만드는 쪽에는 아직도 해결해야 될 문제들이 굉장히 많습니다. 그 이유가,","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000014,75AWLc2tQIQ,scie,train,6.44,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000014.mp4,어 STM 팁에서 나오는 아주 제한된 어,"KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000015,75AWLc2tQIQ,scie,train,6.44,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000015.mp4,"그 영역에서만, 어 전자를 집어넣어서","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000016,75AWLc2tQIQ,scie,train,8.56,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000016.mp4,"그거를 흥분시켜갖고 깨는데, 2분자를 합쳐 갖고 화학 결합을 시키려면 그 2개를 동시에","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000018,75AWLc2tQIQ,scie,train,4.52,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000018.mp4,어 아직 제가 알고 있는 기술로서는 그게 어,"KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000028,75AWLc2tQIQ,scie,train,9.84,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000028.mp4,"아까 말씀드렸죠? 전자를 잘 받기 위해서 필요한 어떤 상태들이 존재하는데, 그게 각각 고유한 에너지의 그 레벨로 표현이 된다고요.","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000029,75AWLc2tQIQ,scie,train,7.84,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000029.mp4,"그 다음에 거기에 맞춰서 공명상 오낫, 그 똑같은 에너지 레벨을 맞추는 게 공명이라는 작업을 시키는 작업인데,","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000032,75AWLc2tQIQ,scie,train,7.72,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000032.mp4,"그래서 결론적으로 말씀드리면 STM 쪽에 전압을 바꿔줌으로써, 공명 상태를 만들어준다. 입니다.","KMSAV (interim, not OLKAVS)"
75AWLc2tQIQ_000035,75AWLc2tQIQ,scie,train,9.36,kmsav_pilot/cropped/75AWLc2tQIQ/utts/000035.mp4,"전자 상태가 굉장히 큰 간격을 갖고 떨어져 있어요. 서로. 그래서 말씀하신 대로 전자적으로 여기를 시키려면은,","KMSAV (interim, not OLKAVS)"
