clip_id,source_video_id,domain,split,duration_sec,clip_path,transcript
-_K3g6HyQOg_000297,-_K3g6HyQOg,mukb,train,4.84,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000297.mp4,제 개인적으로는 그냥 막 따서 먹는 음 그 애. 그게 좀더 고소하고 맛이 좋은거 같습니다.
-_K3g6HyQOg_000309,-_K3g6HyQOg,mukb,train,9.72,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000309.mp4,햐 근데 이게 고민이 되는게 여기 이 이상태에서 더 많이 삭혀서 먹으면 맛이 인제 매콤하면서 좋아요. 근데 홍어는 특성상 더 많이 삭히면 더 짜져요. 더
-_K3g6HyQOg_000312,-_K3g6HyQOg,mukb,train,4.36,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000312.mp4,그런 방법이 빨리 좀 개발이 되면 더 좋겠습니다. 음
-_K3g6HyQOg_000316,-_K3g6HyQOg,mukb,train,3.96,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000316.mp4,그리구 껍질묵 이건 별미로 한번씩 드실만한거
-_K3g6HyQOg_000322,-_K3g6HyQOg,mukb,train,2.52,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000322.mp4,이거는 흑산도가 아니라 국산인거죠? 그냥 국내
-_K3g6HyQOg_000327,-_K3g6HyQOg,mukb,train,6.76,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000327.mp4,음 저도 홍어를 먹다보니까 요정도 인제 짬은 나오더라구요. 여기 결이나 살결이나 요런게 보니까 크기가 엄청 큰 홍어는 아니에요.
-_K3g6HyQOg_000335,-_K3g6HyQOg,mukb,train,3.72,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000335.mp4,음 지금부터 슬슬슬 오기 시작한 거에요. 빡빡빡하며
-_K3g6HyQOg_000341,-_K3g6HyQOg,mukb,train,3.88,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000341.mp4,아 그리고 참 오랜만에 보네. 내장젓 음
0e76Mv3YWso_000006,0e76Mv3YWso,scie,train,8.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000006.mp4,너무 재밌어가지고 나 정신과 안할래. 기초의학 할래 해서 기억의 메커니즘을 연구하는 에릭 캔델 유명한 노벨상도 받았죠.
0e76Mv3YWso_000007,0e76Mv3YWso,scie,train,7.4,kmsav_pilot/cropped/0e76Mv3YWso/utts/000007.mp4,근데 그 사람이 역시 미국 사람은 돈을 좋아해가지고 그걸 노벨상 받고 그러더니 갑자기 새 회사를 차려가지고 기업을 증명시키는
0e76Mv3YWso_000011,0e76Mv3YWso,scie,train,4.76,kmsav_pilot/cropped/0e76Mv3YWso/utts/000011.mp4,근데 거꾸로가 될 수 있거든요. 그러면 큰 일이거든요. 그걸 방법이 없어요.
0e76Mv3YWso_000013,0e76Mv3YWso,scie,train,5.96,kmsav_pilot/cropped/0e76Mv3YWso/utts/000013.mp4,어느 걸 선택해서 간직하고 어떤 걸 없어야 할지 알면 얼마나 좋겠어요. 좀 불가능한거고
0e76Mv3YWso_000014,0e76Mv3YWso,scie,train,7.4,kmsav_pilot/cropped/0e76Mv3YWso/utts/000014.mp4,다만 옛날 기억들에 너무나 자꾸 자극이 되갖고 안되겠으면은 그런데 호르몬이 트랜스미터가 지나치게 예민해져 있기 때문에
0e76Mv3YWso_000015,0e76Mv3YWso,scie,train,6.84,kmsav_pilot/cropped/0e76Mv3YWso/utts/000015.mp4,정신과 중에 약이 그런거에요. 약을 써서 그런 걸 컴다운 시키면 그런것들을 많이 좋아질 수 있는게 정신과의사들이 사용하는 약물이 되는 거죠.
0e76Mv3YWso_000017,0e76Mv3YWso,scie,train,5.0,kmsav_pilot/cropped/0e76Mv3YWso/utts/000017.mp4,인셉션 관련해서는 이제 제가 조금 더 설명을 드리면요. 그 이제
0e76Mv3YWso_000018,0e76Mv3YWso,scie,train,9.12,kmsav_pilot/cropped/0e76Mv3YWso/utts/000018.mp4,제가 어떤 학교진 지금 기억이 잘 안나는데 크리스토퍼 놀란이 그 인터스텔라에서 킵 손을 프로듀서로 이렇게 고용을 했었던 것처럼요.
0e76Mv3YWso_000019,0e76Mv3YWso,scie,train,5.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000019.mp4,그 이 사람은 어떤 영화를 하나 만들 때 공부를 굉장히 열심히 합니다. 그래서
0e76Mv3YWso_000020,0e76Mv3YWso,scie,train,6.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000020.mp4,실제로 어떤 대학교에 가서 몇 개월간 정신 분석학 수업을 직접 들은 걸로 알고 있어요.
0e76Mv3YWso_000021,0e76Mv3YWso,scie,train,3.32,kmsav_pilot/cropped/0e76Mv3YWso/utts/000021.mp4,그런 다음에 이제 동생이 조나단
0e76Mv3YWso_000022,0e76Mv3YWso,scie,train,3.8,kmsav_pilot/cropped/0e76Mv3YWso/utts/000022.mp4,놀란이라고 해서 그 동생이 각본을 다 쓰거든요.
0e76Mv3YWso_000023,0e76Mv3YWso,scie,train,5.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000023.mp4,그 동생 각본이랑 이제 같이 해가지고 에 공동으로 이제 각본을 같이 쓴거고요.
0e76Mv3YWso_000024,0e76Mv3YWso,scie,train,2.52,kmsav_pilot/cropped/0e76Mv3YWso/utts/000024.mp4,그리고 이제 그
0e76Mv3YWso_000025,0e76Mv3YWso,scie,train,5.2,kmsav_pilot/cropped/0e76Mv3YWso/utts/000025.mp4,"하나 아, 네네 아 그리고 하나 더 말씀드리고 싶었던게 그겁니다. 그"
0e76Mv3YWso_000026,0e76Mv3YWso,scie,train,3.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000026.mp4,크리스토퍼 놀란 같은 경우는요. 아까도 말씀드렸듯이
0e76Mv3YWso_000027,0e76Mv3YWso,scie,train,5.2,kmsav_pilot/cropped/0e76Mv3YWso/utts/000027.mp4,고통스러운 과거의 기억이 이제 주요한 그런 그 테마로 오는데요.
0e76Mv3YWso_000030,0e76Mv3YWso,scie,train,6.4,kmsav_pilot/cropped/0e76Mv3YWso/utts/000030.mp4,기억을 조작하거나 아니면은 굉장히 그 심연 밑에 이렇게 묻어 두는 겁니다. 그래서
0e76Mv3YWso_000031,0e76Mv3YWso,scie,train,5.2,kmsav_pilot/cropped/0e76Mv3YWso/utts/000031.mp4,우스갯소리로 이런 말이 있어요. 그 크리스토퍼 놀란 감독 그 영화에서는
0e76Mv3YWso_000032,0e76Mv3YWso,scie,train,2.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000032.mp4,아내들이 다 죽는 거에요.
0e76Mv3YWso_000033,0e76Mv3YWso,scie,train,5.64,kmsav_pilot/cropped/0e76Mv3YWso/utts/000033.mp4,그 그러니까. 남자 주인공의 아내들이 다 죽은 상태로 많이 등장을 하거든요. 그래서
0e76Mv3YWso_000034,0e76Mv3YWso,scie,train,8.12,kmsav_pilot/cropped/0e76Mv3YWso/utts/000034.mp4,죽은 시인의 사회를 그 패러디해서 죽은 아내의 사회라고 흐 그 우스갯소리가 있어요. 그럴 정도로 이제 그
0e76Mv3YWso_000036,0e76Mv3YWso,scie,train,4.68,kmsav_pilot/cropped/0e76Mv3YWso/utts/000036.mp4,등장하는게 이제 그 놀란의 영화 세계에 중요한 테마라고 할 수 있겠습니다.
0e76Mv3YWso_000039,0e76Mv3YWso,scie,train,3.12,kmsav_pilot/cropped/0e76Mv3YWso/utts/000039.mp4,퇴행성 질환 치고는 그래도 제일 나은 편인데
0e76Mv3YWso_000040,0e76Mv3YWso,scie,train,6.88,kmsav_pilot/cropped/0e76Mv3YWso/utts/000040.mp4,알츠하이머는 주로 아세틸콜린이 많이 들어서 그 약을 주면은 잠시는 좋아져요. 이만큼 좋아지고 나빠지는게 이렇게 나빠지자면은
0e76Mv3YWso_000041,0e76Mv3YWso,scie,train,3.6,kmsav_pilot/cropped/0e76Mv3YWso/utts/000041.mp4,약을 쓰면 요만큼 나빠지니까. 좀 낫긴 하지만은 여전히 나빠는 지죠.
0e76Mv3YWso_000042,0e76Mv3YWso,scie,train,4.84,kmsav_pilot/cropped/0e76Mv3YWso/utts/000042.mp4,그리고 아세틸콜린 이외에 여러가지가 또 문제가 되기 때문에 하나 가지고 치료가 안돼서 문젠데
0e76Mv3YWso_000043,0e76Mv3YWso,scie,train,8.08,kmsav_pilot/cropped/0e76Mv3YWso/utts/000043.mp4,학자들 이야기는 이미 알츠하이머로 기억이 가물하고 이제 잘 모를때는 이미 늦었다는 거죠. 이미 뇌가 많이 망가진 다음에야 증상이 나오기 때문에
0e76Mv3YWso_000044,0e76Mv3YWso,scie,train,7.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000044.mp4,그래서 이제 초기에 기억력이 깜빡거리는 게 50 밖에 안됐을때부터 아 미리 치 치료를 해서 약을 쓰면 낫지 않을까
0e76Mv3YWso_000045,0e76Mv3YWso,scie,train,9.12,kmsav_pilot/cropped/0e76Mv3YWso/utts/000045.mp4,해서 요새 각광을 받고 있는게 이제 아밀로이드라는 물질이 뇌에 축적이 되면은 이제 그 생기는 건데 아밀로이드 이미징하여서 사 사진을 찍을 수가 있어요. 지금은요.
0e76Mv3YWso_000047,0e76Mv3YWso,scie,train,9.32,kmsav_pilot/cropped/0e76Mv3YWso/utts/000047.mp4,그때부터 무슨 약을 쓰면 되지 않을까 그래서 이제 임상 연구를 그런 사람들을 대상으로 할라고 그러는데 그런게 다 비싸기 때문에 그걸 많은 환자를 모아서 하기가 힘들어서
0e76Mv3YWso_000048,0e76Mv3YWso,scie,train,7.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000048.mp4,안되지만 그런 방향으로 앞으로 그렇게 나갈겁니다. 미리미리해서 또 알츠하이머가 생길만한 유전자도 있고 그러기 때문에 그런 사람을 미리 잡아서
0e76Mv3YWso_000052,0e76Mv3YWso,scie,train,4.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000052.mp4,몸을 머리에 이식한거냐 머리를 이식하냐 아규가 있죠.
0e76Mv3YWso_000053,0e76Mv3YWso,scie,train,7.52,kmsav_pilot/cropped/0e76Mv3YWso/utts/000053.mp4,그러나 다들 의사들은 몸을 이식했다고 그래요. 왜냐하면 뇌가 그 사람이지 뇌 몸은 아무나 붙어도 되는거거든요?
0e76Mv3YWso_000054,0e76Mv3YWso,scie,train,8.96,kmsav_pilot/cropped/0e76Mv3YWso/utts/000054.mp4,"그래서 머리 몸을 통째로 그런 사람을 이식하려는 시도가 있었어요. 1900 한 8, 70년대 사시 미 미국 사람들이 해서"
0e76Mv3YWso_000056,0e76Mv3YWso,scie,train,7.96,kmsav_pilot/cropped/0e76Mv3YWso/utts/000056.mp4,한참동안 수술을 하려면 해야 되는데 금방 은퇴하고 사라져 버렸어요 그 사람이. 아마 잘 안될 것 같아 실험이라는 게 끝까지 가다가 안되는 수가 많거든요.
0e76Mv3YWso_000057,0e76Mv3YWso,scie,train,8.88,kmsav_pilot/cropped/0e76Mv3YWso/utts/000057.mp4,뭐가 안됐으니까. 도망갔겠죠. 현재 그냥 그 사람 예약만 되어 있지 생전 수술을 안하는데 잘하면 몸을 이식할 수 있는 가능성이 아주 없는 건 아니라고 생각합니다. 제 생각엔
0e76Mv3YWso_000059,0e76Mv3YWso,scie,train,7.2,kmsav_pilot/cropped/0e76Mv3YWso/utts/000059.mp4,네 저는 신경과 의사이기 때문에 뇌가 손상 당하는 사람을 봐서 정신과 의사는 안 봅니다만은
0e76Mv3YWso_000060,0e76Mv3YWso,scie,train,5.6,kmsav_pilot/cropped/0e76Mv3YWso/utts/000060.mp4,정신과에선 요새 다중 인격 장애라고 그러죠. 갑자기 달라져가지고 딴 사람이 돼 버리는 거죠. 충격받은 다음에
0e76Mv3YWso_000061,0e76Mv3YWso,scie,train,7.24,kmsav_pilot/cropped/0e76Mv3YWso/utts/000061.mp4,그러니까. 그 그 인간으로 있기가 너무나 고통스럽기 때문에 사 자기를 바꿔 버리는 거죠. 그래서 다른 인간처럼 행동하는 거를 말하는데
0e76Mv3YWso_000062,0e76Mv3YWso,scie,train,8.88,kmsav_pilot/cropped/0e76Mv3YWso/utts/000062.mp4,어 정신과 의사한테 물어보니까. 그런 경우는 아주 희귀해서 그 영화에 쓰긴 좋으니까 영화엔 많이 나와요. 영화엔 많 옛날 옛날에도
0e76Mv3YWso_000063,0e76Mv3YWso,scie,train,7.76,kmsav_pilot/cropped/0e76Mv3YWso/utts/000063.mp4,마음의 행론가? 그리어 카슨이 나오는 영화가 그런 충격 받은 다음에 갑자기 딴 사람이 되는 뭐 그런게 있거든요. 요새는 더 많지만
0e76Mv3YWso_000064,0e76Mv3YWso,scie,train,7.44,kmsav_pilot/cropped/0e76Mv3YWso/utts/000064.mp4,그렇지만 실제로는 지극히 적어서 별로 연구가 안되어 있고 너무나 많은 스트레스 때문에 자기를 바꾼다고 일단 생각할 뿐이지
0e76Mv3YWso_000066,0e76Mv3YWso,scie,train,5.24,kmsav_pilot/cropped/0e76Mv3YWso/utts/000066.mp4,선생님 혹시 더 아시는 바 있으신가요? 선생님도 쥐 쥐 가지고 하지만 쥐도 바뀌나요? 성격이?
0e76Mv3YWso_000067,0e76Mv3YWso,scie,train,4.88,kmsav_pilot/cropped/0e76Mv3YWso/utts/000067.mp4,아 쥐도 사실은 다 개인차가 있습니다. 네 그게 굉장히 놀라운 건데요.
0e76Mv3YWso_000069,0e76Mv3YWso,scie,train,4.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000069.mp4,관심들이 많고요. 저희는 쥐를 모델로 해서 사람을 유추하기 때문에
0e76Mv3YWso_000070,0e76Mv3YWso,scie,train,5.68,kmsav_pilot/cropped/0e76Mv3YWso/utts/000070.mp4,실제로 이 각 개인들이 보이는 차에 대해서 굉장히 놀랍게 생각을 하고 있거든요.
0e76Mv3YWso_000071,0e76Mv3YWso,scie,train,3.68,kmsav_pilot/cropped/0e76Mv3YWso/utts/000071.mp4,실제로 쥐 같은 경우는 사람하고 좀 많이 달라요. 왜냐하면
0e76Mv3YWso_000072,0e76Mv3YWso,scie,train,4.0,kmsav_pilot/cropped/0e76Mv3YWso/utts/000072.mp4,유전적으로 이 이 쥐들은 거의 같아요. 그러니까 사람 같은 경우는
0e76Mv3YWso_000073,0e76Mv3YWso,scie,train,6.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000073.mp4,"사실은 자라온 환경, 교육 먹는거 다 틀리기 때문에 당연히 틀리거다 이렇게 사람들이 생각을"
0e76Mv3YWso_000074,0e76Mv3YWso,scie,train,6.64,kmsav_pilot/cropped/0e76Mv3YWso/utts/000074.mp4,많이들 해왔거든요. 근데 쥐 같은 경우는 저희가 쥐 이제 사육하는 이제 뭐 큰 연구소들마다 보면 이제
0e76Mv3YWso_000076,0e76Mv3YWso,scie,train,5.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000076.mp4,얘들이 뇌 기능이 많이 달라 다르거든요. 그래서 제가 좀 실망스러운 대답이긴 하지만 잘 모릅니다.
0e76Mv3YWso_000077,0e76Mv3YWso,scie,train,5.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000077.mp4,에 그게 왜 예를 들어서 어떤 밖에서 그니까 제가 또 하는 전공 중에 하나가 스트레스 거든요.
0e76Mv3YWso_000078,0e76Mv3YWso,scie,train,6.84,kmsav_pilot/cropped/0e76Mv3YWso/utts/000078.mp4,스트레스를 받으면은 이제 쥐들이 리액션을 하게 되는데 그게 다 다른데 스트레스는 이렇게 손에 만져지는게 아니라서
0e76Mv3YWso_000079,0e76Mv3YWso,scie,train,8.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000079.mp4,사실은 이게 뭐 밖에서 물리적으로 탁 때렸을 때는 여기가 딱 손상을 받겠다 이야기 할 수 있지만 스트레스는 뇌의 어느 부위에 어떻게 어루만지는지 잘 모르거든요.
0e76Mv3YWso_000080,0e76Mv3YWso,scie,train,3.76,kmsav_pilot/cropped/0e76Mv3YWso/utts/000080.mp4,그래서 저희 아직 많이 갖고 있는 질문이라고 답 해드릴 수 있을 것 같습니다.
0e76Mv3YWso_000082,0e76Mv3YWso,scie,train,6.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000082.mp4,네 이거 아주 깊은 질문인데 뇌성마비는 대개는 아이가 태어날때 너무 일찍 나왔거나
0e76Mv3YWso_000083,0e76Mv3YWso,scie,train,5.12,kmsav_pilot/cropped/0e76Mv3YWso/utts/000083.mp4,뭐 너무 늦게 나왔거나 아니면 너무 산모가 출혈이 있거나 아이가 거꾸로 안
0e76Mv3YWso_000084,0e76Mv3YWso,scie,train,6.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000084.mp4,누워 있다가 나왔거나 무슨 문제가 있을때 뇌에 문제가 생기는 건데 어 뇌성마비도 여러가지 증상이 있지만
0e76Mv3YWso_000085,0e76Mv3YWso,scie,train,5.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000085.mp4,제가 아까 말씀드렸던 대로 기저핵이라는 부분이 주로 망가지는 뇌성마비가 있거든요?
0e76Mv3YWso_000086,0e76Mv3YWso,scie,train,8.8,kmsav_pilot/cropped/0e76Mv3YWso/utts/000086.mp4,아까 그 문소리가 바로 그 연기를 한거예요. 뇌성마비 환자를 처음 어릴때부터 그랬거든요. 그런 사람은 어릴때 그래서 제가 말씀드린 긴장 이상증을 일으키는 병은 많아요.
0e76Mv3YWso_000087,0e76Mv3YWso,scie,train,7.16,kmsav_pilot/cropped/0e76Mv3YWso/utts/000087.mp4,뇌졸중도 기저핵이 망가지면 다 올 수 있는데 뇌성마비는 어릴때부터 이게 망가져서 이렇게 오랫동안 사는 건데
0e76Mv3YWso_000089,0e76Mv3YWso,scie,train,6.16,kmsav_pilot/cropped/0e76Mv3YWso/utts/000089.mp4,근데 일반적으로 뇌성마비는 다 망가져요. 온 몸이 다 이러기 때문에 그걸 다 보톡스를 할 수가 없어서
0e76Mv3YWso_000090,0e76Mv3YWso,scie,train,5.32,kmsav_pilot/cropped/0e76Mv3YWso/utts/000090.mp4,사실 가장 난제입니다. 뇌성마비는요. 아직까지도요. 계속 연구중인데 아직까지는 별 수가 없습니다.
0e76Mv3YWso_000092,0e76Mv3YWso,scie,train,7.32,kmsav_pilot/cropped/0e76Mv3YWso/utts/000092.mp4,"글쎄, 역시 어려운 문제인데 남자도 물론 변연계에서 사랑이 나오죠. 그런데 일반적으로 변연계의 활성화는"
0e76Mv3YWso_000093,0e76Mv3YWso,scie,train,8.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000093.mp4,우리 우리가 기능적 MRI라고 통 속에 들어가서 뭐뭐 손을 움직여버리면 여기 활성화되는 걸 보고 알 수가 있는게 있는데 여자들이 훨씬 더 강하죠.
0e76Mv3YWso_000094,0e76Mv3YWso,scie,train,8.52,kmsav_pilot/cropped/0e76Mv3YWso/utts/000094.mp4,그리고 어 엠퍼시라고 그럴까요? 애가 우는 소리를 들으면 여자는 변연계가 막 활성화돼요. 남자들은 별로 안해요. 긴가민가합니다.
0e76Mv3YWso_000097,0e76Mv3YWso,scie,train,5.0,kmsav_pilot/cropped/0e76Mv3YWso/utts/000097.mp4,오랫동안 삶이 달라왔기 때문에 여성이 오랫동안 아이를 키워야 했고 예민했기 때문에
0e76Mv3YWso_000098,0e76Mv3YWso,scie,train,9.24,kmsav_pilot/cropped/0e76Mv3YWso/utts/000098.mp4,모든 감각이 여성이 예민해요. 모든 감각이요. 뭐 근데 여 그건 길러져서 그런게 아니라 아기도 그래. 갓난아기도 여자가 훨씬 더 예민하다고 그 태어난 거죠.
0e76Mv3YWso_000099,0e76Mv3YWso,scie,train,6.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000099.mp4,그니까. 남녀가 같을 순 없어요. 뇌로 볼때는. 몰라요. 이게 똑같이 생활을 하다 보면은 똑같아질수도 있지만 아직까지는 그래요.
0e76Mv3YWso_000100,0e76Mv3YWso,scie,train,8.44,kmsav_pilot/cropped/0e76Mv3YWso/utts/000100.mp4,그렇기 때문에 서로의 특성을 특장을 살려서 서로서로 도와서 서로 가서 제가 보기엔 변연계와 심피질을 둘 다 쓰는게 제일 좋아요.
0e76Mv3YWso_000101,0e76Mv3YWso,scie,train,3.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000101.mp4,그니까. 남자가 도와줘야지. 남자가 애 봐주지 않으면 못하니까.
0e76Mv3YWso_000102,0e76Mv3YWso,scie,train,6.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000102.mp4,그렇게해서 그렇기 때문에 제가 말씀는 거에요. 사회적으로 우리가 다같이 그걸 이해해서 차이를 그런 좋은 사회를 이뤄야 되는 것 같아요.
0e76Mv3YWso_000104,0e76Mv3YWso,scie,train,5.76,kmsav_pilot/cropped/0e76Mv3YWso/utts/000104.mp4,그거는 약간 과장됐으나 아주 가능 안하 안하 안하지 하지 않다고 말 할 수는 없는 것이
0e76Mv3YWso_000105,0e76Mv3YWso,scie,train,7.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000105.mp4,치매 중에 알츠하이머 병이 제일 유명하지만 알츠하이머 병의 사촌쯤 되는 병이 있어요. 그건 전두엽 축두엽 치매라고
0e76Mv3YWso_000107,0e76Mv3YWso,scie,train,5.4,kmsav_pilot/cropped/0e76Mv3YWso/utts/000107.mp4,근데 고 놈은 약간 변동 되어가지고 앞 쪽에 전두엽이 망가지다 보니까 성격이 달라져요.
0e76Mv3YWso_000108,0e76Mv3YWso,scie,train,6.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000108.mp4,전두엽은 우리 우리 자아거든요. 자아가 전두엽이 망가지면 순하던 사람이 막 난폭해지고 어
0e76Mv3YWso_000109,0e76Mv3YWso,scie,train,5.0,kmsav_pilot/cropped/0e76Mv3YWso/utts/000109.mp4,난폭하던 사람이 얌전해지고 변합니다. 사람이 달 달라지면 그건 치매 징조가 있는거죠.
0e76Mv3YWso_000110,0e76Mv3YWso,scie,train,8.08,kmsav_pilot/cropped/0e76Mv3YWso/utts/000110.mp4,전두엽이 많이 망가지니까 평상시에 전두엽이 억누르고 있던 다른 것이 오히려 릴리즈가 됐어요. 해소 해소가 될 수가 있어요.
0e76Mv3YWso_000111,0e76Mv3YWso,scie,train,7.56,kmsav_pilot/cropped/0e76Mv3YWso/utts/000111.mp4,"전두엽은 경찰이에요. 우리 몸을 다 지배하고 뇌가 하면 하면 안돼, 살인자들이 전두엽 기능이 장애가 많은 거 아시죠?"
0e76Mv3YWso_000112,0e76Mv3YWso,scie,train,7.2,kmsav_pilot/cropped/0e76Mv3YWso/utts/000112.mp4,살인 살인자들 보면은 미국에 저 교도소에 있는 사람들하면 반 이상이 뭐가 문제가 있거나 해부학적으로
0e76Mv3YWso_000113,0e76Mv3YWso,scie,train,4.72,kmsav_pilot/cropped/0e76Mv3YWso/utts/000113.mp4,아니면 기능적으로 전두엽이 이상이 있는 겁니다. 그런 발작적인 살인 같은 거를
0e76Mv3YWso_000114,0e76Mv3YWso,scie,train,4.44,kmsav_pilot/cropped/0e76Mv3YWso/utts/000114.mp4,억누르지 못해서 생기는거 거든요. 전두엽이 누누 눌러주지 못해서
0e76Mv3YWso_000116,0e76Mv3YWso,scie,train,6.48,kmsav_pilot/cropped/0e76Mv3YWso/utts/000116.mp4,실제로 그런 그림들이 많이 레포트가 돼요. 그 그림을 더 멋있게 그리고 다르게 그리는 것들이 레포트가 많이 돼서
0fppXi4h5v8_000001,0fppXi4h5v8,issu,train,4.12,kmsav_pilot/cropped/0fppXi4h5v8/utts/000001.mp4,중국 정부의 문서가 위조된 것이라는 의혹이 제기 됐습니다.
0fppXi4h5v8_000013,0fppXi4h5v8,issu,train,3.6,kmsav_pilot/cropped/0fppXi4h5v8/utts/000013.mp4,아 지나치게 낮은 형을 선고한 것이 아닌가 생각이 듭니다.
1DKwTQ5yL6k_000005,1DKwTQ5yL6k,inte,train,5.08,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000005.mp4,형이 전역을 이번 이번 어 상부에서 그러니까.
1DKwTQ5yL6k_000013,1DKwTQ5yL6k,inte,train,3.48,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000013.mp4,안녕하세요. 군복무를 마치고 돌아온 정현철 입니다.
1DKwTQ5yL6k_000014,1DKwTQ5yL6k,inte,train,3.88,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000014.mp4,저도 현철이형과 같이 군복무를 마치고 돌아온 김주성 입니다.
1DKwTQ5yL6k_000023,1DKwTQ5yL6k,inte,train,2.36,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000023.mp4,군대에선 안 밝지 않았어? 허허허허
1DKwTQ5yL6k_000024,1DKwTQ5yL6k,inte,train,8.2,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000024.mp4,그냥 그래도 분위기 분위기가 그게 쳐지지 않게 노력하고 계속 밝게 있으려고 그런 거 똑같은 거 같아요. 저는
1DKwTQ5yL6k_000026,1DKwTQ5yL6k,inte,train,9.24,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000026.mp4,서울 두 2명 있었나? 그치? 이제 그 친구들 덕분에 저희가 좀 적응을 좀 빨리 했을 수 할 수 있었던 것 같아요. 항상 같이 다니면서 안에서 좀 추억도 많이 쌓고
1DKwTQ5yL6k_000027,1DKwTQ5yL6k,inte,train,2.08,kmsav_pilot/cropped/1DKwTQ5yL6k/utts/000027.mp4,같이 뭐 얘기하고 이러면 뭐
